教材順,カード順,異名,名前,時代,属性（自動）,身分,生没年,開戦前の石高,開戦後の石高,兵力,イラスト説明1のタイトル,イラスト説明1キャラ,イラスト説明1,イラスト説明2のタイトル,イラスト説明2キャラ,イラスト説明2,鎧紹介タイトル,鎧紹介キャラ,鎧紹介内容,効果名1,効果名2,どうしてQキャラ,どうしてQ,どうしてA,関ヶ原ではQキャラ,関ヶ原ではQ,関ヶ原ではA,関ヶ原の後Qキャラ,関ヶ原の後Q,関ヶ原の後A,クイズ,コメント,コラム,カード画像,東西,パラメータ1（知恵）,パラメータ2（忠義）,パラメータ3（勇気）,パラメータ4（武力）,パラメータ5（魅力）,パラメータ6の名前,パラメータ6の値,レーダーチャート解説キャラ,レーダーチャート解説,家紋名,文字数
25,20,天下を呑取る男,後藤又兵衛,戦国/江戸時代,武士・東軍,武士・東軍,1560～1615(41/56才),黒田家家臣,黒田家家臣16000石,黒田長政麾下,槍の名人,サリー2,又兵衛といえば槍の名人として有名よね。この槍にも逸話があるのよ。,長政への対抗心,スクナ2,主君にお前の生き方を認めて欲しかったの？　難しそう……。,(名称不明),ジェンキンス2,又兵衛の兜の前立は大きく、遠くからでもよく目立ちそうだ。,長政との確執,剛槍一騎打ち！,シュン5,又兵衛さんは、どうして東軍に？  たしか、主君の黒田長政さんとは仲が悪かったよね？,ハハハ、小僧、よく知っておるな。そうだ。戦場で華々しく戦う俺と、後ろで策略ばっか練っている真面目な長政とは折り合いが悪かった。とはいえ、この時はまだ家臣だったからな。反目はしなかった。,シュン8,ってことは、関ヶ原でも大活躍だったんじゃない！？,小僧、よく言うじゃねえか。その通り。俺は石田三成隊にいた敵将と一騎打ちして、この自慢の槍で討ち取ってやった。その敵も槍使いだったが、俺に敵う訳がないってもんだ。,シュン8,一騎打ちで勝っちゃうなんてカッコイイ！  関ヶ原の後はどうなったの？,おう、この活躍で俺は黒田家の城主になるんだが、天下一の槍使いの俺は、そんなもんで留まる器じゃねえからよ、出奔して大坂城に入ったぞ。大坂の陣でも暴れに暴れてやったのさ。,俺が得意としていた武器といえば……わかるだろ？,フハハハ、長政よ、これが戦の作法というものじゃ！そこで見ておれ！,フハハハ、長政よ、これが戦の作法というものじゃ！そこで見ておれ！,https://highsto.net/assets/images/cards/ge/後藤又兵衛.webp,東軍,3,1,5,5,4,主君との仲,1,シュン8,又兵衛も言ってたけど、主君の黒田長政とは仲が悪かったみたいだな。嫌なことがあったというよりは、そもそも気が合う性格じゃなかったみたいだ。それにしても一騎打ちして勝っちゃうなんて凄いよな。,下がり藤,470
26,31,第一の功労者,黒田長政,戦国/江戸時代,武士・ｷﾘｼﾀﾝ・東軍・福岡藩,武士・キリシタン・東軍・福岡藩,1568～1623(33/56才),豊前国中津城181000石,筑前国福岡城523000石,5400,陣羽織,サリー2,長政はかつて自分を助けてくれた石田三成に陣羽織を贈ったと言われるわ。,中津城,ジェンキンス2,長政が居城としていた中津城は日本三大水城の一つとされている。,銀箔押一の谷形兜、黒手時代塗本革包菱綴桶側二枚胴具足,ジェンキンス2,長政は兜を福島正則と交換して友好の証にしたようだ。,贋首と陣羽織,大一番の密約,ハマボウ2,黒田長政さんのお父さんって軍師の官兵衛さんだったと思うんですけど、どうして東軍についたんですか？,よく知っておるな。私の父官兵衛は豊臣恩顧で、私自身も石田三成殿に助けてもらったことがあるのだが……、朝鮮の役以降、文治派とは折り合いがつかなくてな、徳川家康殿の養女を娶るなどして、鞍替えを図っていたのだ。,ハマボウ1,なるほど、官兵衛さんの息子らしい……。ということは戦いでも謀略での活躍があったのでは？,その通り、私も父の智謀に倣って西軍の諸将に寝返り工作をした。福島正則を味方につけ、吉川広家、小早川秀秋を裏切らせることにも成功した。戦いは手足だけでなく、頭も使うべきだということだな。,ハマボウ2,凄い、寝返った人たちは皆重要な人ばかりだ……。じゃあ、報酬も多かったんじゃないですか？,その通り。家康殿からは関ヶ原における第一の功労者とされて、筑前国52万石を貰うことになった。そして52万石の太守として相応しいよう、私の故郷の名にあやかって福岡城を建てた。今では九州一の街になっていると聞く。,福岡の街を築いたのは誰か、答えてみよ。,治部殿、申し訳ないが、これも乱世の習い。各々方、あとは密約通り頼みますぞ。,治部殿、申し訳ないが、これも乱世の習い。各々方、あとは密約通り頼みますぞ。,https://highsto.net/assets/images/cards/ge/黒田長政.webp,東軍,5,2,2,3,4,父との差,1,ハマボウ4,長政さんのお父さんの黒田官兵衛に、長政さんは追いつこうと思っていたと聞いたことがあるよ。僕は、もう追いついていたと思うんだけど、皆はどう思う？,黒田藤巴,522
27,27,吹き揚げる信頼,藤堂高虎,戦国/江戸時代,武士・東軍・津藩,武士・東軍・津藩,1556～1630(45/75才),伊予国宇和島城80000石,伊予国今治城200000石,2500,貞秀の太刀,スクナ2,この刀、脇坂安治が持ってるの見た……。昔馴染みだったのね……。,今治城,ジェンキンス2,関ヶ原の直後に高虎が建てた今治城は日本三大水城とされている。,黒手時代塗唐冠形兜、黒手時代塗濃紺威桶側二枚胴,ジェンキンス1,背が高かった高虎は、このような大きい飾りをつけていても邪魔にならなかったようだ。,四国鎮圧,貞秀の太刀,ハマボウ2,藤堂高虎さんは多くの主君に仕えていたと思うんですけど、この時もたまたま東軍についたってことですか？,ほほう、わしの遍歴について知っている者がおるとは。そう、あの時は朝鮮の役や太閤豊臣秀吉殿の死の後に、豊臣家臣団が福島正則らを中心とする武断派と石田三成らを中心とする文治派に分かれていてな、徳川家康殿と親交があったこともあって、東軍につくことを決めたんだ。長年、主を渡り歩いてきた勘というやつかな。,ハマボウ2,たしか、高虎さんは近江国出身でしたよね？,よく知っておるな。わしは関ヶ原の時、同じ近江国出身で同郷だった脇坂安治たちに寝返りを促した。共に大谷吉継を攻撃もしたな。忘れてはいけないのが、わしの領地があった伊予国に攻めてきた毛利輝元の兵を撃退したことだ。,ハマボウ4,関ケ原で戦いながら領国を守らないといけないって大変でしたね。関ヶ原が終わった後はどうなりましたか？,功を認められて、伊予国の今治のあたりを加増されたぞ。今治では層塔型天守と呼ばれる新しい形式の天守閣を試したものだ。共に戦った安治の領地を減封されないように家康殿を説得したことで、貞秀の太刀を送られもしたな。後にわしの領地となる安濃津は三重県の中心地になっていると聞く。,わしが新しく始めた天守閣の形式はなんというかわかるだろうか？,刑部よ、病を押して出てきたようだが、周りが全て寝返ればどうすることもできない？,刑部よ、病を押して出てきたようだが、周りが全て寝返ればどうすることもできまい？,https://highsto.net/assets/images/cards/ge/藤堂高虎.webp,東軍,4,3,3,4,3,築城術,5,ハマボウ3,高虎さんといえば、やっぱり築城技術だ。自分の城だけじゃなくて、江戸城や他の城にも自分で編み出した技術を持ち込んで日本の城の形を変えたんだ。7度主君を変えた処世術にも注目だね。,藤堂蔦,621
28,28,白鷺宰相,池田輝政,戦国/江戸時代,武士・東軍・姫路藩,武士・東軍・姫路藩,1565～1613(36/49才),三河国吉田城150000石,播磨国姫路城520000石,4500,姫路城,ジェンキンス2,この白い城こそ世界遺産になっている姫路城だ。,岐阜禁制の立て看板,サリー1,岐阜城の戦いの後、輝政は乱暴狼藉を禁止するお触れを出したそうよ。,,未定,,岐阜禁制,督姫輿入れ,ハマボウ3,池田輝政さんは、どうして東軍についたんですか？,ふふふふふ、それは私の愛しき嫁が徳川家康殿の娘だからだな。亡き豊臣秀吉様からも厚遇されていたが、それは石田三成殿たちとは関係ないこと。真っ先に東軍に与したぞ。,ハマボウ2,ってことは、関ヶ原の戦いでも活躍したんですか？,いや、私は戦いに参加するというよりも、むしろ殿に近い役割だったぞ。家康殿たちが布陣している場所の後ろ、南宮山に籠っていた吉川広家殿が密約通り動かないよう見張っていたのだ。,ハマボウ1,そういえば、池田輝政さんって姫路城で有名ですよね？,よく知っておるな。嬉しいぞ。関ヶ原での功労から播磨国に加増転封となったのだ。そこで山陽道が通る姫路を政務の中心地とするために、城を大きく改築したのだ。今では日本の城で唯一世界遺産になっておるぞ。,私が改築して、世界遺産となった城はなんだ？,いたずらに勝ち馬を追うのは感心せんなぁ、広家殿。,いたずらに勝ち馬を追うのは感心せんなぁ、広家殿。,https://highsto.net/assets/images/cards/ge/池田輝政.webp,東軍,3,3,2,2,3,徳川との縁,5,ハマボウ1,輝政さんといえば姫路城が有名だけど、あんな城を建てられるぐらいの大きな領国を持てたのは輝政さんの奥さんが家康の娘だったからというのが大きいみたいだ。,備前蝶,427
29,34,忍従の果てに,徳川家康,戦国/江戸時代,武士・東軍・征夷大将軍,武士・東軍・征夷大将軍,1543～1616(58/74才),武蔵国江戸城2550000石,武蔵国江戸城4000000石,30000,厭離穢土欣求浄土,サリー2,2023年の大河ドラマでも度々出てきたこのスローガンは戦乱の世が平和な世に生まれ変わるという意味よ。,還暦を前にして,スクナ2,還暦直前になってようやく昔からの夢を叶える時が来たのね……。,羊歯鍍金前立黒塗大黒頭巾兜、伊予札黒糸威胴丸具足,ジェンキンス2,家康の鎧は何種類か伝わるが、関ヶ原の時には、この具足を使っていたと言われる。,上杉征伐,勝者が歴史,シュン7,徳川家康さんに聞くけど、どうして東軍を作って三成と戦ったんだ？,なかなか難しい質問じゃな。たしかに儂は亡き太閤豊臣秀吉が存命の頃から天下を窺ってはいたが、石田三成らと対立していた訳では無い。さしずめ、武断派と文治派の対立を利用して天下を狙った、というところじゃな。,シュン5,へえ～……東軍の人たちは自分で味方につけたってことか？　やっぱすげえな！,そういうことになるな。野戦が得意な儂は大垣城に籠る三成を関ケ原に引きずり出し、儂に味方した諸将が数々の内応工作をしていたのを知っておったから、儂自ら軍配を取って前線で戦ったぞ。,シュン8,じゃあ天下は家康さんの手で勝ち取ったってことだな！,左様。関ヶ原で勝ったことで儂は全国で一番の権力を持つことになったぞ。戦功を理由にして加増しながらも外様を要地から遠ざけ、要地は譜代で固める差配をして、儂が後に開く江戸幕府の基礎を固めてやったのだ。,関ヶ原から3年後に儂が開いたものはなんじゃ？,不利を知りながら、この儂に挑んでくるとはな……。面白い、受けて立つぞ三成！,不利を知りながら、この儂に挑んでくるとはな…。面白い、受けて立つぞ三成！,https://highsto.net/assets/images/cards/ge/徳川家康.webp,東軍,5,2,4,4,5,兵数,5,シュン5,戦国時代、武将が率いれる兵士の数は領国の石高と関係あるって聞いたことあるけど、やっぱダントツの兵を連れてきた家康さんは、とても広い領域を支配していたってことだな！,徳川・三つ葉葵,481
30,26,若き直鋒,松平忠吉,戦国/江戸時代,武士・東軍・尾張藩,武士・東軍・尾張藩,1580～1607(21/28才),武蔵国忍城100000石,尾張国清洲城520000石,3000,父子の書状,スクナ1,忠吉はお父さんの家康から随分期待されていたみたいだな……。,凛々しい表情,スクナ2,たしかに、この表情、先鋒をやったら素敵な武功を挙げられそう……。ふふふ。,(兜の名称不明)、銀箔置白糸威具足,ジェンキンス1,忠吉は珍しく、銀色に輝く具足を身につけていたようだ。,白銀の初撃,父子の書状,シュン6,忠吉さんは、どうして東軍に？,私は名字こそ違えど、かの徳川家康の息子なのです。兄弟の中では最も正しい器量を備えていたと言われ、父直々に書状を書かれたほど期待されていたのですよ。,シュン7,忠吉さんは福島正則や井伊直政さんと先陣争いをしたんでしょ？,そうですよ。まだ若かった私は関ヶ原が初陣だったのですが、福島正則さんや舅の井伊直政殿と霧の中で先陣争いをしました。関ヶ原を通して戦い続けたのですが、最後、島津豊久の決死の攻撃で負傷させられてしまいましたね……。,シュン7,え？  大丈夫だったの？,ええ……その時は……。関ヶ原での軍功から、いわゆる尾張藩の初代藩主に任じられたんです。その時はまだ織田信長公が拠点にしていた清洲に中心街があったんですよ。……でも、結局関ヶ原での傷が元で早死することになってしまいました……。,私の鎧の色は何色だったか、わかりますか？,舅殿！  この忠吉、徳川の先鋒の役目、立派にやり遂げて見せましょうぞ！,舅殿！この忠吉、徳川の先鋒の役目、立派にやり遂げて見せましょうぞ！,https://highsto.net/assets/images/cards/ge/松平忠吉.webp,東軍,3,5,5,3,3,期待,5,シュン8,話を聞いた感じ、とても礼儀正しくて、家康が言った通り長生きしていたら知恵も武力も凄い人になっていたと思うぜ。家康が期待してたのもわかるな。,徳川・三つ葉葵,434
31,33,百世の鑑,井伊直政,戦国時代,武士・東軍・彦根藩,武士・東軍・彦根藩,1561～1602(40/42才),上野国高崎城120000石,近江国佐和山城180000石,3600,友から借りた兵,スクナ1,急遽出撃することになった直政は、長年の戦友、本多忠勝から兵を借りたそうだ。,小柄な体,サリー2,井伊直政は徳川四天王の中でも小柄だったと伝わるわ。でもその功績はとても大きかったのよ。,天衝脇立兜、朱漆塗紺糸威桶側二枚胴具足,ジェンキンス1,直政は軍装を赤で統一した、井伊の赤備えと呼ばれる部隊を率いていた。,疾風赤備え,満身功名,シュン6,直政さんは、どうして東軍に？,酒井忠次殿、本多忠勝殿、榊原康政殿と合わせて徳川四天王と呼ばれた拙者は、元々は外様だったのでござるが、25年の長きにわたって功を挙げて譜代になったのでござるよ。そして譜代の筆頭として関ケ原に向かったのでござる。,シュン7,関ヶ原では、先陣を争ったんだよね？,いかにも。関ヶ原では譜代の筆頭として誰よりも功を挙げるべく、先陣から追撃まで果たしてござる。関ヶ原を駆け巡った拙者には、護衛もついてくるのがやっとでござった。赤備えもまだまだでござるな。鍛え直さねば。,シュン7,井伊といえば、彦根城だよね？,よく知っているでござるな。石田三成が居城にしていた佐和山城に転封になったでござる。この城は後に彦根城を建てる時に資材にされるのでござるよ。もっとも、日頃の疲れからか、それを見る前に、この世を去ってしまったのでござるが……。,拙者の井伊隊は何色の軍装が特徴だったかわかるでござるか？,徳川の先鋒は常に井伊であるべし。外様に譲る訳には参らぬ！,徳川の先鋒は常に井伊であるべし。外様に譲る訳には参らぬ！,https://highsto.net/assets/images/cards/ge/井伊直政.webp,東軍,3,5,5,4,5,誇り,5,シュン8,直政は家康に取り立ててもらったから、外様なのにいつも先陣を張って傷だらけになりながらも頑張ったんだって。話した時も家康一の家臣になるっていう勢いがあってすごかったな。,彦根橘,472
32,29,無敵の寡戦,本多忠勝,戦国/江戸時代,武士・東軍・桑名藩,武士・東軍・桑名藩,1548～1610(53/63才),上総国大多喜城100000石,伊勢国桑名城100000石,500,友に貸した兵,スクナ2,病気なのに出撃しようとする井伊直政に、自分の兵を貸してあげたんだって……。,蜻蛉切,ジェンキンス1,この槍は蜻蛉が穂先に乗った時の重さだけで切れるほど鋭かったという。,鹿角脇立兜、牛皮小札黒糸威具足、金の数珠,ジェンキンス2,その名の通り、鹿の角のような脇立が特徴的だ。金の数珠からは強い信仰心が伺える。,三国黒,歴戦の友,シオリン6,本多忠勝さんは、どうして東軍についたの？,俺は、井伊直政の野郎と並んで徳川四天王だからな。特に俺の家は昔っから徳川家の配下だったからよ、徳川家康様についていく以外に考えはないってもんだな。中山道の方はもう一人の四天王、榊原康政に任せたぞ。,シオリン6,忠勝さんは関ヶ原でどんな活躍をしたの？,まずは直政と協力して西軍のヤツらに寝返りを促す書状を送ったことだな。戦いそのものは、病気なのに関ケ原に行こうとする直政に兵を貸したから、大した活躍は出来なかったが、500人の兵で90も首級を挙げてやったぞ。,シオリン8,凄いわ忠勝さん！  関ヶ原の後はどうなったの？,旧領の大多喜は息子の忠朝にやり、俺は桑名に転封になったぞ。桑名に行ってからは、老い先長くないと思って桑名に集中することにしてな、東海道の宿場として整備してやったぞ。俺が死んだ後にはお伊勢参りってのが流行ったらしいな。,俺が肩から提げていたのは何か、答えてみろ！,病身でも大戦に臨まんとする、その心意気や良し！  直政よ、俺の兵を連れていけ！,病身でも大戦に臨まんとする、その心意気や良し！直政よ、俺の兵を連れて行け！,https://highsto.net/assets/images/cards/ge/本多忠勝.webp,東軍,3,5,4,5,5,傷の数,1,シオリン7,やっぱり、57回も戦いに行って一度も傷を負わなかったって普通にヤバいと思わない？  この人がずっと忠誠を誓っていたなんて家康からしたらありがたかったと思うわ。私も拝んだら無敵になれるかしら。,本多立ち葵,487
33,22,蜻蛉は酒虫か,本多忠朝,戦国/江戸時代,武士・東軍・大多喜藩,武士・東軍・大多喜藩,1582～1615(19/34才),本多忠勝の家臣,上総国大多喜城50000石,本多忠勝麾下,酒の瓶,サトリ1,アナタ、酒は呑み過ぎると後で大変なことになるわよ？,鹿の子,スクナ2,ふふふ、お前、しかのこなのね……。,,未定,,無敵を懸けた初陣,ー,シオリン6,本多忠朝さんは、どうして東軍についたの？,おいらは無敵と呼ばれたあの本多忠勝の息子だかんな、親父に付いて来いって言われたら行くっきゃないって訳さ。親父についていれば勝利は間違いないもんな！,シオリン5,…………関ヶ原では、どんな活躍をしたの？,おいらは実はこの戦いが初陣だったんだ。親父は井伊直政さんに兵を貸しちゃったから、おいらたちの兵は少なかったけど、それでも敵をバッタバッタと薙ぎ倒してやったんだぜ！  さ、ささ酒は呑んでないよ！,シオリン5,……怪しい……。それで、関ヶ原の後は？,おいらは親父の旧領、房総半島の大多喜をもらったんだぜ。んで、関ヶ原の14年後、大坂の陣に徳川を代表する武将として出撃するんだけど……、どうなったかは酔っ払ってて覚えてないや！,おいらの手に持ってる、コレはなーんだ？,無敵の親父の息子なんだ、こんな戦、酒を呑んでても余裕だい！,無敵の親父の息子なんだ、こんな戦、酒を呑んでても余裕だい！,https://highsto.net/assets/images/cards/ge/本多忠朝.webp,東軍,1,4,4,3,3,優しさ,5,シオリン7,忠朝さんは関ヶ原の後に領地になった房総半島にいた時、たまたま漂流してきた外国の人を温かく迎えたり、お父さんの遺産をお兄さんにあげようとしたりした優しい人だったのよ。,本多立ち葵,416
34,18,日陰の影擬き,本多正純,戦国/江戸時代,武士・東軍・宇都宮藩,武士・東軍・宇都宮藩,1565～1637(36/73才),本多正信の家臣,本多正信の家臣,徳川家康麾下,日陰の未来？,サトリ1,アナタ、遠い未来で、何か大きな過ちをしそうね。気をつけた方がいいわ。,父とよく似た子,スクナ1,この格好……岡崎で見たことあるな。正信の子か。,,未定,,加増は三万石まで,ー,ハマボウ3,本多正純さんは、どうして東軍についたんですか？,私の父は本多正信というのですが、過去に一向一揆があった時に徳川家を裏切ったりもしているのです。それでもかの徳川家康様は許して下さり、我ら親子を傍に置いてくれた……。その恩に報いようと日頃から思って過ごしていたのです。,ハマボウ1,なるほど……、関ヶ原ではどんな活躍を？,お恥ずかしながら、私は父が中山道の秀忠様の補佐に向かったので、代わりに家康様の本陣に居ただけで、何の活躍も出来なかったのです。でも、戦後、敗将となった石田三成の身柄を預かったりしたんですよ。,ハマボウ1,……もしかして、家康さんからの信頼厚かったんじゃないですか？,よくわかったね。父共々家康様には重用して頂いて、下野国に所領を頂いたよ。でも周りから嫉妬されることも多くて、そのせいで失脚させられちゃうんだよね……。父上……言いつけ、守れません……でした……っ。,私の父は誰か、わかるかい？,秀忠様の遅参は我が父の責ゆえ、我ら親子を罰し賜りますよう……。,秀忠様の遅参は我が父の責ゆえ、我ら親子を罰し賜りますよう…。,https://highsto.net/assets/images/cards/ge/本多正純.webp,東軍,4,3,3,1,2,やっかみ,5,ハマボウ4,関ヶ原の時はまだそこまでではなかったみたいだけど、家康の側近として優遇されていたお父さんの正信が死ぬと、周りの恨みを全部受けることになっちゃったみたいだね。お父さんなら上手く切り抜けたのかな？,本多立ち葵,482
